epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.20204,1.93534,4.45821,1.34558,0.23956,0.26915,0.19569,0.11656,1.4949,2.84553,1.01063,8.574e-05,8.574e-05,8.574e-05
2,3.21498,1.593,2.13509,1.16586,0.91819,0.73695,0.82493,0.56485,1.05855,1.66482,0.97011,0.000183931,0.000183931,0.000183931
3,4.33087,1.39033,1.25438,1.11014,0.9177,0.84685,0.94191,0.67526,1.06187,1.05668,0.96435,0.000280141,0.000280141,0.000280141
4,5.40666,1.32433,0.95312,1.08819,0.8869,0.86849,0.94559,0.66416,1.10356,0.91615,1.01743,0.000374371,0.000374371,0.000374371
5,6.47102,1.28045,0.88285,1.07471,0.98016,0.78519,0.89465,0.5738,1.26676,0.86353,1.18458,0.00046662,0.00046662,0.00046662
6,7.54402,1.22498,0.77946,1.0611,0.94274,0.88647,0.93368,0.64139,1.15718,0.7869,1.07725,0.000556888,0.000556888,0.000556888
7,8.56636,1.23924,0.79322,1.11058,0.98567,0.88248,0.91228,0.63139,1.18145,0.77712,1.02543,0.000645176,0.000645176,0.000645176
8,9.60629,1.21614,0.73428,1.03964,0.87656,0.85926,0.86861,0.62107,1.16332,0.89494,1.09062,0.000731484,0.000731484,0.000731484
9,10.644,1.15616,0.68949,1.0447,0.92024,0.89259,0.89277,0.61828,1.1479,0.76127,1.08489,0.00081581,0.00081581,0.00081581
10,11.6241,1.09602,0.66395,1.01502,0.97526,0.85926,0.9158,0.65021,1.13201,0.77173,1.04103,0.000898157,0.000898157,0.000898157
11,12.6048,1.09067,0.63419,1.03669,0.93612,0.85842,0.91701,0.64968,1.18353,0.72527,1.08754,0.000978522,0.000978522,0.000978522
12,13.5858,1.11105,0.63023,0.98651,0.96238,0.86065,0.91395,0.63731,1.1158,0.72544,1.00995,0.00105691,0.00105691,0.00105691
13,14.5583,1.13944,0.68681,1.04856,0.92392,0.8684,0.90239,0.64959,1.08831,0.83663,0.9976,0.00113331,0.00113331,0.00113331
14,15.6202,1.13292,0.65321,1.0301,0.97262,0.81699,0.90368,0.63492,1.15668,0.76843,1.02841,0.00120774,0.00120774,0.00120774
15,16.6705,1.04103,0.64632,0.97959,0.9309,0.89259,0.89497,0.62919,1.23001,0.67303,1.07162,0.00123094,0.00123094,0.00123094
16,17.7317,0.99216,0.60221,0.97787,0.91932,0.89259,0.90683,0.6472,1.10344,0.64497,1.00644,0.00121679,0.00121679,0.00121679
17,18.7882,1.06149,0.59814,0.98733,0.92586,0.89259,0.91569,0.66292,1.0948,0.61654,1.01833,0.00120265,0.00120265,0.00120265
18,19.8242,1.02696,0.58059,0.98939,0.98992,0.89259,0.92476,0.66309,1.16323,0.69032,1.02489,0.0011885,0.0011885,0.0011885
19,20.9015,0.98135,0.57219,0.9519,0.97164,0.90153,0.93981,0.67634,1.05915,0.72852,1.00017,0.00117435,0.00117435,0.00117435
20,21.9745,1.00385,0.59084,0.95649,0.9526,0.89615,0.9417,0.6804,1.08364,0.66989,1.02664,0.00116021,0.00116021,0.00116021
21,23.0566,0.95365,0.56006,0.9584,0.93061,0.8781,0.93985,0.70151,1.07318,0.59444,1.01924,0.00114606,0.00114606,0.00114606
22,24.1977,0.99287,0.56157,0.97421,0.86896,0.92481,0.93399,0.67428,1.17372,0.74403,1.11946,0.00113191,0.00113191,0.00113191
23,25.2378,0.94376,0.51784,0.95519,0.92695,0.92838,0.91402,0.67204,1.19881,0.64058,1.11875,0.00111776,0.00111776,0.00111776
24,26.2839,0.9368,0.53844,0.92708,0.94781,0.89533,0.90555,0.66075,1.15519,0.75433,1.0796,0.00110362,0.00110362,0.00110362
25,27.3144,0.98346,0.52489,0.96169,0.94686,0.89415,0.90897,0.62931,1.27111,0.79607,1.15741,0.00108947,0.00108947,0.00108947
26,28.3778,0.92013,0.50596,0.94977,0.94357,0.89442,0.91928,0.66395,1.17174,0.69766,1.10719,0.00107532,0.00107532,0.00107532
27,29.4307,0.94964,0.506,0.96188,0.9661,0.89661,0.93879,0.66327,1.1877,0.64338,1.06457,0.00106118,0.00106118,0.00106118
28,30.4911,0.93231,0.50241,0.9569,0.98006,0.92346,0.94645,0.67745,1.00994,0.59207,0.9982,0.00104703,0.00104703,0.00104703
29,31.5149,0.94106,0.49403,0.93971,0.9817,0.92963,0.95352,0.70577,0.97097,0.57213,0.98075,0.00103288,0.00103288,0.00103288
30,32.6144,0.87372,0.4827,0.92662,0.95236,0.92963,0.95392,0.68602,1.02226,0.58992,0.98542,0.00101873,0.00101873,0.00101873
31,33.6983,0.86505,0.4608,0.91873,0.97498,0.92963,0.95233,0.70623,1.02127,0.56038,0.98507,0.00100459,0.00100459,0.00100459
32,34.8007,0.89315,0.47753,0.92231,0.9656,0.92963,0.93438,0.66857,1.14609,0.61294,1.07918,0.00099044,0.00099044,0.00099044
33,35.8316,0.8779,0.46823,0.93765,0.97084,0.92963,0.94237,0.67187,1.16554,0.61849,1.07044,0.000976293,0.000976293,0.000976293
34,36.8876,0.8531,0.46032,0.91871,0.9866,0.92963,0.95789,0.70389,1.03046,0.51155,0.99085,0.000962146,0.000962146,0.000962146
35,37.9775,0.8516,0.44736,0.91818,0.98058,0.92689,0.9553,0.69061,1.04468,0.50482,0.99341,0.000947999,0.000947999,0.000947999
36,39.0042,0.87727,0.44664,0.95597,0.97018,0.91893,0.95638,0.70273,1.0239,0.51153,0.96832,0.000933851,0.000933851,0.000933851
37,40.0374,0.84653,0.44284,0.92373,0.98115,0.90668,0.9563,0.72675,0.98448,0.50821,0.95038,0.000919704,0.000919704,0.000919704
38,41.1196,0.82496,0.43272,0.92461,0.97388,0.89627,0.95575,0.66088,1.09138,0.53887,1.01612,0.000905557,0.000905557,0.000905557
39,42.1576,0.82329,0.44004,0.91315,0.97668,0.90041,0.95347,0.71672,1.006,0.51893,0.97267,0.00089141,0.00089141,0.00089141
40,43.2658,0.80284,0.425,0.89002,0.97574,0.92648,0.95427,0.68365,1.07196,0.51428,0.9979,0.000877263,0.000877263,0.000877263
41,44.3063,0.78633,0.42735,0.90398,0.96927,0.92398,0.95673,0.66921,1.16971,0.5303,1.02866,0.000863116,0.000863116,0.000863116
42,45.366,0.82173,0.43431,0.89913,0.93564,0.92508,0.95072,0.69325,1.11823,0.51642,1.01761,0.000848969,0.000848969,0.000848969
43,46.406,0.79731,0.42003,0.8981,0.94813,0.92359,0.94787,0.67841,1.07411,0.49585,0.99794,0.000834822,0.000834822,0.000834822
44,47.4819,0.77723,0.42737,0.90015,0.9642,0.92322,0.95784,0.70818,1.04313,0.49279,0.96152,0.000820675,0.000820675,0.000820675
45,48.4983,0.77697,0.4246,0.90179,0.96511,0.92506,0.95818,0.69348,1.06823,0.46198,0.97437,0.000806528,0.000806528,0.000806528
46,49.5647,0.77797,0.41557,0.8964,0.96827,0.92491,0.95753,0.73121,0.95581,0.46499,0.95468,0.00079238,0.00079238,0.00079238
47,50.7022,0.74886,0.40995,0.87961,0.97334,0.9109,0.95393,0.69958,1.07118,0.48454,0.99374,0.000778233,0.000778233,0.000778233
48,51.7508,0.73479,0.39549,0.89675,0.94898,0.92963,0.95574,0.71654,1.05253,0.4665,0.99501,0.000764086,0.000764086,0.000764086
49,52.7672,0.76088,0.39246,0.90784,0.95269,0.92963,0.95473,0.69872,1.17213,0.49592,1.04539,0.000749939,0.000749939,0.000749939
50,53.8265,0.7651,0.41447,0.89934,0.95889,0.92963,0.93808,0.68193,1.11677,0.48049,1.04667,0.000735792,0.000735792,0.000735792
51,54.9039,0.78373,0.40303,0.902,0.95874,0.92963,0.93587,0.69615,1.11752,0.51108,1.03821,0.000721645,0.000721645,0.000721645
